2017-03-15 17:12:12,330 | INFO  | tp1081590943-114 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:14,188 | INFO  | tp1081590943-112 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:14,188 | INFO  | tp1081590943-112 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:14,681 | INFO  | tp1081590943-118 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:14,681 | INFO  | tp1081590943-118 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:15,570 | INFO  | tp1081590943-113 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:15,764 | INFO  | tp1081590943-111 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:15,805 | INFO  | tp1081590943-111 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:15,805 | INFO  | tp1081590943-113 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:15,982 | INFO  | tp1081590943-114 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:15,983 | INFO  | tp1081590943-114 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:16,125 | INFO  | tp1081590943-112 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:16,125 | INFO  | tp1081590943-112 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:16,547 | INFO  | tp1081590943-118 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:16,547 | INFO  | tp1081590943-118 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:16,730 | INFO  | tp1081590943-111 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:16,730 | INFO  | tp1081590943-111 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:16,893 | INFO  | tp1081590943-113 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:17,008 | INFO  | tp1081590943-113 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:17,094 | INFO  | tp1081590943-114 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:17,095 | INFO  | tp1081590943-114 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-15 17:12:17,293 | INFO  | tp1081590943-112 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - karaf
2017-03-15 17:12:17,293 | INFO  | tp1081590943-112 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication succeeded - karaf
2017-03-22 13:46:44,139 | INFO  | tp1873480566-118 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:44,139 | INFO  | tp1873480566-144 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:44,157 | INFO  | tp1873480566-144 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:44,157 | INFO  | tp1873480566-118 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:45,368 | INFO  | tp1873480566-122 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:45,369 | INFO  | tp1873480566-122 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:45,369 | INFO  | tp1873480566-137 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:45,370 | INFO  | tp1873480566-137 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:45,956 | INFO  | tp1873480566-120 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:45,956 | INFO  | tp1873480566-119 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:45,957 | INFO  | tp1873480566-120 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:45,957 | INFO  | tp1873480566-119 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:46,470 | INFO  | tp1873480566-118 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:46,470 | INFO  | tp1873480566-144 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:46,470 | INFO  | tp1873480566-144 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:46,470 | INFO  | tp1873480566-118 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
2017-03-22 13:46:46,654 | INFO  | tp1873480566-137 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:46,654 | INFO  | tp1873480566-122 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication attempt - 
2017-03-22 13:46:46,654 | INFO  | tp1873480566-137 | LogAuditLoginModule              | 35 - org.apache.karaf.jaas.modules - 4.0.8 | Authentication failed - 
